,sequence
1ELW_4CC2,6.75
1ELW_4CY1,-75.12
1ELW_4E3B,9.72
1ELW_4EQJ,-21.81
1ELW_4ERY,-92.62
1ELW_4EWR,-43.97
1ELW_4F14,-25.73
1ELW_4GNE,-55.41
1ELW_4GQ6,216.39
1ELW_4H39,59.42
1ELW_4IKN,-52.3
1ELW_4J73,-31.34
1ELW_4J78,-35.76
1ELW_4J81,-43.41
1ELW_4JOE,8.52
1ELW_4K75,4.58
1ELW_4LN2,-26.78
1ELW_4LNP,-28.34
1ELW_4MDR,-95.47
1ELW_4NXQ,12.01
1ELW_4O36,12.47
1ELW_4WYU,2.72
1ELW_4X3H,39.86
1ELW_4XHV,-0.38
1ELW_4Y7R,-52.13
1ELW_4YSI,-19.03
1ELW_4ZHL,0.31
1ELW_5A2J,-32.93
1ELW_5CFA,-30.45
1ELW_5E1D,26.44
1ELW_5E2Q,95.5
1ELW_5GP7,43.58
1ELW_5GU4,50.11
1ELW_5HEB,5.08
1ELW_5HEY,-4.97
1ELW_5WOU,18.41
1ELW_5XHZ,-34.27
1ELW_5YGF,12.37
1ELW_6CDG,-26.53
1ELW_6EVN,224.46
1ELW_6IM4,192.05
1FCH_1CKA,5.77
1FCH_1D4T,2.75
1FCH_1ELW,395.59
1FCH_1FCH,0.0
1FCH_1GWR,97.44
1FCH_1JD5,52.55
1FCH_1LB6,0.37
1FCH_1MF4,37.06
1FCH_1MFG,26.59
1FCH_1OAI,61.69
1FCH_1T7R,86.53
1FCH_1X2R,-188.0
1FCH_1YWO,10.96
1FCH_2HO2,15.99
1FCH_2O9V,-21.58
1FCH_2OEI,16.62
1FCH_2PEH,30.94
1FCH_2PV1,36.85
1FCH_2QBW,-62.73
1FCH_2WA8,33.51
1FCH_2XRW,37.06
1FCH_3ASL,12.79
1FCH_3CH8,13.36
1FCH_3D9T,46.05
1FCH_3DIW,0.56
1FCH_3DRF,-14.42
1FCH_3DRG,25.97
1FCH_3EMH,-179.14
1FCH_3IQG,45.71
1FCH_3IVV,-28.71
1FCH_3L3X,72.18
1FCH_3OBQ,7.53
1FCH_3R42,32.03
1FCH_3RYB,-2.43
1FCH_3SO6,41.66
1FCH_3SOU,10.48
1FCH_3UPV,410.46
1FCH_3UVK,-174.48
1FCH_3UVM,-175.24
1FCH_4AIF,316.4
1FCH_4APO,316.5
1FCH_4CC2,-5.21
1FCH_4CY1,-185.36
1FCH_4E3B,-4.17
1FCH_4EQJ,-39.1
1FCH_4ERY,-176.37
1FCH_4EWR,-193.98
1FCH_4F14,22.29
1FCH_4GNE,-14.69
1FCH_4GQ6,204.63
1FCH_4H39,21.3
1FCH_4IKN,-111.58
1FCH_4J73,-144.83
1FCH_4J78,-155.35
1FCH_4J81,-143.92
1FCH_4JOE,12.28
1FCH_4K75,24.98
1FCH_4LN2,3.29
1FCH_4LNP,12.34
1FCH_4MDR,-69.39
1FCH_4NXQ,6.77
1FCH_4O36,11.29
1FCH_4WYU,-13.54
1FCH_4X3H,35.5
1FCH_4XHV,2.6
1FCH_4Y7R,-167.12
1FCH_4YSI,-41.4
1FCH_4ZHL,-73.87
1FCH_5A2J,-100.47
1FCH_5CFA,-108.79
1FCH_5E1D,32.0
1FCH_5E2Q,73.01
1FCH_5GP7,73.63
1FCH_5GU4,30.17
1FCH_5HEB,6.39
1FCH_5HEY,11.33
1FCH_5WOU,21.5
1FCH_5XHZ,11.68
1FCH_5YGF,-8.3
1FCH_6CDG,-2.8
1FCH_6EVN,267.57
1FCH_6IM4,357.49
1GWR_1CKA,32.63
1GWR_1D4T,45.17
1GWR_1ELW,73.59
1GWR_1FCH,95.81
1GWR_1GWR,0.0
1GWR_1JD5,29.29
1GWR_1LB6,-33.38
1GWR_1MF4,49.63
1GWR_1MFG,23.74
1GWR_1OAI,51.22
1GWR_1T7R,781.36
1GWR_1X2R,-79.83
1GWR_1YWO,24.11
1GWR_2HO2,23.26
1GWR_2O9V,40.11
1GWR_2OEI,18.15
1GWR_2PEH,11.53
1GWR_2PV1,60.74
1GWR_2QBW,33.91
1GWR_2WA8,71.46
1GWR_2XRW,71.28
1GWR_3ASL,22.05
1GWR_3CH8,28.44
1GWR_3D9T,30.47
1GWR_3DIW,-19.88
1GWR_3DRF,78.39
1GWR_3DRG,-13.16
1GWR_3EMH,-54.45
1GWR_3IQG,8.3
1GWR_3IVV,-53.29
1GWR_3L3X,743.27
1GWR_3OBQ,35.17
1GWR_3R42,57.11
1GWR_3RYB,33.97
1GWR_3SO6,65.42
1GWR_3SOU,11.1
1GWR_3UPV,60.24
1GWR_3UVK,-101.82
1GWR_3UVM,-55.16
1GWR_4AIF,85.67
1GWR_4APO,84.33
1GWR_4CC2,17.24
1GWR_4CY1,-49.78
1GWR_4E3B,13.07
1GWR_4EQJ,-27.74
1GWR_4ERY,-90.79
1GWR_4EWR,-24.64
1GWR_4F14,33.37
1GWR_4GNE,-9.5
1GWR_4GQ6,81.83
1GWR_4H39,63.11
1GWR_4IKN,-13.71
1GWR_4J73,-79.5
1GWR_4J78,-100.0
1GWR_4J81,-31.93
1GWR_4JOE,35.38
1GWR_4K75,26.18
1GWR_4LN2,38.87
1GWR_4LNP,28.81
1GWR_4MDR,-43.49
1GWR_4NXQ,7.16
1GWR_4O36,14.41
1GWR_4WYU,34.53
1GWR_4X3H,40.19
1GWR_4XHV,31.52
1GWR_4Y7R,-24.96
1GWR_4YSI,-55.11
1GWR_4ZHL,0.36
1GWR_5A2J,-58.22
1GWR_5CFA,-41.56
1GWR_5E1D,23.25
1GWR_5E2Q,51.21
1GWR_5GP7,60.48
1GWR_5GU4,31.72
1GWR_5HEB,23.17
1GWR_5HEY,22.02
1GWR_5WOU,28.63
1GWR_5XHZ,17.3
1GWR_5YGF,17.23
1GWR_6CDG,-7.15
1GWR_6EVN,48.25
1GWR_6IM4,69.76
1JD5_1CKA,41.4
1JD5_1D4T,25.61
1JD5_1ELW,32.1
1JD5_1FCH,52.55
1JD5_1GWR,41.67
1JD5_1JD5,0.0
1JD5_1LB6,2.66
1JD5_1MF4,37.73
1JD5_1MFG,51.86
1JD5_1OAI,22.86
1JD5_1T7R,56.45
1JD5_1X2R,-3.21
1JD5_1YWO,44.56
1JD5_2HO2,42.45
1JD5_2O9V,29.56
1JD5_2OEI,41.83
1JD5_2PEH,-3.94
1JD5_2PV1,0.66
1JD5_2QBW,52.96
1JD5_2WA8,38.63
1JD5_2XRW,37.61
1JD5_3ASL,59.42
1JD5_3CH8,51.89
1JD5_3D9T,621.02
1JD5_3DIW,63.98
1JD5_3DRF,41.53
1JD5_3DRG,33.3
1JD5_3EMH,24.82
1JD5_3IQG,12.84
1JD5_3IVV,9.46
1JD5_3L3X,31.63
1JD5_3OBQ,34.57
1JD5_3R42,45.98
1JD5_3RYB,20.11
1JD5_3SO6,17.83
1JD5_3SOU,62.6
1JD5_3UPV,37.42
1JD5_3UVK,1.62
1JD5_3UVM,-16.0
1JD5_4AIF,58.92
1JD5_4APO,40.72
1JD5_4CC2,27.12
1JD5_4CY1,-9.67
1JD5_4E3B,62.78
1JD5_4EQJ,-33.94
1JD5_4ERY,-14.99
1JD5_4EWR,6.22
1JD5_4F14,25.07
1JD5_4GNE,39.12
1JD5_4GQ6,37.23
1JD5_4H39,10.96
1JD5_4IKN,-4.44
1JD5_4J73,-31.85
1JD5_4J78,-28.03
1JD5_4J81,-9.73
1JD5_4JOE,28.3
1JD5_4K75,30.07
1JD5_4LN2,20.4
1JD5_4LNP,13.04
1JD5_4MDR,16.08
1JD5_4NXQ,19.56
1JD5_4O36,16.07
1JD5_4WYU,57.28
1JD5_4X3H,17.4
1JD5_4XHV,22.5
1JD5_4Y7R,-16.07
1JD5_4YSI,18.35
1JD5_4ZHL,12.72
1JD5_5A2J,-11.22
1JD5_5CFA,21.11
1JD5_5E1D,20.04
1JD5_5E2Q,50.99
1JD5_5GP7,58.37
1JD5_5GU4,25.28
1JD5_5HEB,20.99
1JD5_5HEY,18.47
1JD5_5WOU,37.31
1JD5_5XHZ,35.47
1JD5_5YGF,46.1
1JD5_6CDG,25.01
1JD5_6EVN,12.51
1JD5_6IM4,39.43
1LB6_1CKA,28.34
1LB6_1D4T,59.73
1LB6_1ELW,-9.56
1LB6_1FCH,-59.57
1LB6_1GWR,-21.71
1LB6_1JD5,-2.36
1LB6_1LB6,0.0
1LB6_1MF4,-20.17
1LB6_1MFG,23.57
1LB6_1OAI,22.23
1LB6_1T7R,-75.64
1LB6_1X2R,63.21
1LB6_1YWO,34.41
1LB6_2HO2,25.53
1LB6_2O9V,21.81
1LB6_2OEI,26.34
1LB6_2PEH,44.56
1LB6_2PV1,24.95
1LB6_2QBW,103.61
1LB6_2WA8,40.06
1LB6_2XRW,39.21
1LB6_3ASL,31.57
1LB6_3CH8,96.66
1LB6_3D9T,33.22
1LB6_3DIW,46.29
1LB6_3DRF,35.4
1LB6_3DRG,30.34
1LB6_3EMH,76.12
1LB6_3IQG,21.88
1LB6_3IVV,436.65
1LB6_3L3X,-49.13
1LB6_3OBQ,57.26
1LB6_3R42,53.79
1LB6_3RYB,11.02
1LB6_3SO6,46.82
1LB6_3SOU,29.32
1LB6_3UPV,-9.56
1LB6_3UVK,77.06
1LB6_3UVM,78.78
1LB6_4AIF,-10.6
1LB6_4APO,-46.82
1LB6_4CC2,32.95
1LB6_4CY1,77.21
1LB6_4E3B,41.89
1LB6_4EQJ,53.25
1LB6_4ERY,77.54
1LB6_4EWR,87.8
1LB6_4F14,19.31
1LB6_4GNE,42.91
1LB6_4GQ6,21.3
1LB6_4H39,41.44
1LB6_4IKN,97.36
1LB6_4J73,55.61
1LB6_4J78,50.72
1LB6_4J81,50.23
1LB6_4JOE,29.17
1LB6_4K75,18.76
1LB6_4LN2,35.2
1LB6_4LNP,23.47
1LB6_4MDR,122.26
1LB6_4NXQ,40.33
1LB6_4O36,15.89
1LB6_4WYU,47.54
1LB6_4X3H,28.09
1LB6_4XHV,20.24
1LB6_4Y7R,80.34
1LB6_4YSI,343.75
1LB6_4ZHL,47.69
1LB6_5A2J,75.77
1LB6_5CFA,125.8
1LB6_5E1D,9.58
1LB6_5E2Q,-26.89
1LB6_5GP7,3.58
1LB6_5GU4,33.27
1LB6_5HEB,17.05
1LB6_5HEY,28.9
1LB6_5WOU,42.88
1LB6_5XHZ,25.28
1LB6_5YGF,25.9
1LB6_6CDG,56.16
1LB6_6EVN,23.5
1LB6_6IM4,-0.91
1MF4_1CKA,37.52
1MF4_1D4T,59.96
1MF4_1ELW,58.12
1MF4_1FCH,37.06
1MF4_1GWR,5.48
1MF4_1JD5,37.73
1MF4_1LB6,14.8
1MF4_1MF4,0.0
1MF4_1MFG,6.66
1MF4_1OAI,43.87
1MF4_1T7R,49.08
1MF4_1X2R,-38.48
1MF4_1YWO,13.18
1MF4_2HO2,37.44
1MF4_2O9V,3.98
1MF4_2OEI,39.35
1MF4_2PEH,-0.52
1MF4_2PV1,67.22
1MF4_2QBW,17.06
1MF4_2WA8,40.7
1MF4_2XRW,58.5
1MF4_3ASL,-6.65
1MF4_3CH8,12.89
1MF4_3D9T,27.71
1MF4_3DIW,5.06
1MF4_3DRF,47.21
1MF4_3DRG,52.79
1MF4_3EMH,-9.85
1MF4_3IQG,56.52
1MF4_3IVV,10.87
1MF4_3L3X,47.15
1MF4_3OBQ,44.98
1MF4_3R42,43.02
1MF4_3RYB,47.56
1MF4_3SO6,54.18
1MF4_3SOU,-15.53
1MF4_3UPV,82.87
1MF4_3UVK,-2.63
1MF4_3UVM,-2.56
1MF4_4AIF,66.86
1MF4_4APO,66.95
1MF4_4CC2,42.32
1MF4_4CY1,-6.86
1MF4_4E3B,6.93
1MF4_4EQJ,-3.87
1MF4_4ERY,8.66
1MF4_4EWR,-15.95
1MF4_4F14,5.57
1MF4_4GNE,2.55
1MF4_4GQ6,56.59
1MF4_4H39,57.53
1MF4_4IKN,10.82
1MF4_4J73,41.13
1MF4_4J78,42.07
1MF4_4J81,43.33
1MF4_4JOE,23.77
1MF4_4K75,-0.33
1MF4_4LN2,31.2
1MF4_4LNP,38.36
1MF4_4MDR,49.15
1MF4_4NXQ,12.83
1MF4_4O36,13.06
1MF4_4WYU,-25.85
1MF4_4X3H,33.83
1MF4_4XHV,22.35
1MF4_4Y7R,-59.06
1MF4_4YSI,-4.95
1MF4_4ZHL,-12.45
1MF4_5A2J,10.1
1MF4_5CFA,34.14
1MF4_5E1D,0.47
1MF4_5E2Q,71.2
1MF4_5GP7,49.79
1MF4_5GU4,37.87
1MF4_5HEB,24.53
1MF4_5HEY,17.13
1MF4_5WOU,15.18
1MF4_5XHZ,48.44
1MF4_5YGF,20.57
1MF4_6CDG,-25.41
1MF4_6EVN,62.41
1MF4_6IM4,63.23
1MFG_1CKA,46.73
1MFG_1D4T,57.09
1MFG_1ELW,11.69
1MFG_1FCH,17.3
1MFG_1GWR,13.77
1MFG_1JD5,32.3
1MFG_1LB6,50.65
1MFG_1MF4,9.52
1MFG_1MFG,0.0
1MFG_1OAI,-9.65
1MFG_1T7R,15.25
1MFG_1X2R,28.96
1MFG_1YWO,31.64
1MFG_2HO2,23.04
1MFG_2O9V,53.1
1MFG_2OEI,23.24
1MFG_2PEH,55.64
1MFG_2PV1,23.69
1MFG_2QBW,747.28
1MFG_2WA8,27.97
1MFG_2XRW,59.78
1MFG_3ASL,-8.19
1MFG_3CH8,750.14
1MFG_3D9T,14.42
1MFG_3DIW,493.67
1MFG_3DRF,63.8
1MFG_3DRG,57.93
1MFG_3EMH,42.29
1MFG_3IQG,34.51
1MFG_3IVV,59.31
1MFG_3L3X,16.8
1MFG_3OBQ,31.2
1MFG_3R42,51.54
1MFG_3RYB,30.29
1MFG_3SO6,47.71
1MFG_3SOU,-6.96
1MFG_3UPV,0.57
1MFG_3UVK,21.12
1MFG_3UVM,49.55
1MFG_4AIF,-3.02
1MFG_4APO,1.85
1MFG_4CC2,31.48
1MFG_4CY1,11.21
1MFG_4E3B,491.21
1MFG_4EQJ,57.17
1MFG_4ERY,10.7
1MFG_4EWR,14.28
1MFG_4F14,44.01
1MFG_4GNE,27.3
1MFG_4GQ6,49.82
1MFG_4H39,71.93
1MFG_4IKN,49.23
1MFG_4J73,21.34
1MFG_4J78,16.7
1MFG_4J81,42.21
1MFG_4JOE,412.29
1MFG_4K75,397.85
1MFG_4LN2,54.89
1MFG_4LNP,63.32
1MFG_4MDR,58.47
1MFG_4NXQ,320.19
1MFG_4O36,12.94
1MFG_4WYU,461.7
1MFG_4X3H,5.51
1MFG_4XHV,407.52
1MFG_4Y7R,24.27
1MFG_4YSI,68.3
1MFG_4ZHL,41.99
1MFG_5A2J,38.04
1MFG_5CFA,63.7
1MFG_5E1D,49.33
1MFG_5E2Q,29.54
1MFG_5GP7,6.59
1MFG_5GU4,42.58
1MFG_5HEB,424.77
1MFG_5HEY,417.06
1MFG_5WOU,518.63
1MFG_5XHZ,61.88
1MFG_5YGF,56.3
1MFG_6CDG,43.23
1MFG_6EVN,8.69
1MFG_6IM4,2.34
1OAI_1CKA,6.74
1OAI_1D4T,61.62
1OAI_1ELW,61.18
1OAI_1FCH,61.55
1OAI_1GWR,51.22
1OAI_1JD5,10.95
1OAI_1LB6,16.92
1OAI_1MF4,43.87
1OAI_1MFG,-9.65
1OAI_1OAI,0.0
1OAI_1T7R,62.38
1OAI_1X2R,-3.2
1OAI_1YWO,2.29
1OAI_2HO2,13.65
1OAI_2O9V,-12.26
1OAI_2OEI,8.46
1OAI_2PEH,-0.92
1OAI_2PV1,48.71
1OAI_2QBW,-7.79
1OAI_2WA8,60.78
1OAI_2XRW,40.35
1OAI_3ASL,17.69
1OAI_3CH8,4.77
1OAI_3D9T,13.65
1OAI_3DIW,2.53
1OAI_3DRF,42.96
1OAI_3DRG,48.18
1OAI_3EMH,28.82
1OAI_3IQG,26.16
1OAI_3IVV,30.87
1OAI_3L3X,34.72
1OAI_3OBQ,35.62
1OAI_3R42,46.64
1OAI_3RYB,47.91
1OAI_3SO6,26.3
1OAI_3SOU,25.46
1OAI_3UPV,69.94
1OAI_3UVK,-29.79
1OAI_3UVM,27.49
1OAI_4AIF,59.0
1OAI_4APO,59.59
1OAI_4CC2,13.96
1OAI_4CY1,29.18
1OAI_4E3B,-12.55
1OAI_4EQJ,19.78
1OAI_4ERY,27.64
1OAI_4EWR,28.84
1OAI_4F14,13.06
1OAI_4GNE,-3.89
1OAI_4GQ6,55.91
1OAI_4H39,39.46
1OAI_4IKN,16.56
1OAI_4J73,38.78
1OAI_4J78,37.28
1OAI_4J81,38.65
1OAI_4JOE,-11.57
1OAI_4K75,-8.53
1OAI_4LN2,-10.6
1OAI_4LNP,1.19
1OAI_4MDR,-11.09
1OAI_4NXQ,-19.99
1OAI_4O36,16.21
1OAI_4WYU,9.4
1OAI_4X3H,53.64
1OAI_4XHV,-11.36
1OAI_4Y7R,27.36
1OAI_4YSI,0.82
1OAI_4ZHL,21.61
1OAI_5A2J,8.98
1OAI_5CFA,13.22
1OAI_5E1D,39.37
1OAI_5E2Q,46.34
1OAI_5GP7,56.12
1OAI_5GU4,40.05
1OAI_5HEB,3.16
1OAI_5HEY,21.57
1OAI_5WOU,6.27
1OAI_5XHZ,-12.29
1OAI_5YGF,35.25
1OAI_6CDG,11.08
1OAI_6EVN,63.61
1OAI_6IM4,38.75
1T7R_1CKA,29.41
1T7R_1D4T,3.11
1T7R_1ELW,67.12
1T7R_1FCH,86.53
1T7R_1GWR,781.36
1T7R_1JD5,56.45
1T7R_1LB6,-26.39
1T7R_1MF4,37.43
1T7R_1MFG,15.25
1T7R_1OAI,65.15
1T7R_1T7R,0.0
1T7R_1X2R,-75.54
1T7R_1YWO,12.86
1T7R_2HO2,6.08
1T7R_2O9V,23.71
1T7R_2OEI,13.54
1T7R_2PEH,33.89
1T7R_2PV1,62.81
1T7R_2QBW,-3.21
1T7R_2WA8,35.67
1T7R_2XRW,86.43
1T7R_3ASL,7.21
1T7R_3CH8,-63.93
1T7R_3D9T,31.69
1T7R_3DIW,-1.5
1T7R_3DRF,50.0
1T7R_3DRG,30.25
1T7R_3EMH,-63.23
1T7R_3IQG,30.17
1T7R_3IVV,-19.98
1T7R_3L3X,2070.01
1T7R_3OBQ,13.22
1T7R_3R42,72.03
1T7R_3RYB,53.42
1T7R_3SO6,50.86
1T7R_3SOU,24.96
1T7R_3UPV,78.43
1T7R_3UVK,-77.57
1T7R_3UVM,-57.03
1T7R_4AIF,50.49
1T7R_4APO,71.07
1T7R_4CC2,20.12
1T7R_4CY1,-69.79
1T7R_4E3B,-8.17
1T7R_4EQJ,-19.82
1T7R_4ERY,-58.2
1T7R_4EWR,-46.66
1T7R_4F14,24.49
1T7R_4GNE,-7.63
1T7R_4GQ6,84.39
1T7R_4H39,88.41
1T7R_4IKN,-83.33
1T7R_4J73,-16.65
1T7R_4J78,-44.25
1T7R_4J81,-35.9
1T7R_4JOE,17.95
1T7R_4K75,17.84
1T7R_4LN2,20.64
1T7R_4LNP,27.98
1T7R_4MDR,-110.21
1T7R_4NXQ,6.68
1T7R_4O36,22.68
1T7R_4WYU,-20.01
1T7R_4X3H,45.17
1T7R_4XHV,27.76
1T7R_4Y7R,-74.02
1T7R_4YSI,0.69
1T7R_4ZHL,-112.06
1T7R_5A2J,-47.82
1T7R_5CFA,-77.12
1T7R_5E1D,70.57
1T7R_5E2Q,94.42
1T7R_5GP7,63.63
1T7R_5GU4,66.13
1T7R_5HEB,14.86
1T7R_5HEY,9.31
1T7R_5WOU,22.19
1T7R_5XHZ,22.59
1T7R_5YGF,7.54
1T7R_6CDG,-34.95
1T7R_6EVN,49.12
1T7R_6IM4,95.53
1X2R_1CKA,55.72
1X2R_1D4T,69.5
1X2R_1ELW,-96.03
1X2R_1FCH,-188.0
1X2R_1GWR,-79.0
1X2R_1JD5,30.93
1X2R_1LB6,35.16
1X2R_1MF4,7.87
1X2R_1MFG,36.64
1X2R_1OAI,-3.2
1X2R_1T7R,-89.73
1X2R_1X2R,0.0
1X2R_1YWO,39.29
1X2R_2HO2,56.52
1X2R_2O9V,52.46
1X2R_2OEI,56.62
1X2R_2PEH,19.63
1X2R_2PV1,25.75
1X2R_2QBW,47.9
1X2R_2WA8,26.86
1X2R_2XRW,88.52
1X2R_3ASL,28.06
1X2R_3CH8,66.71
1X2R_3D9T,46.72
1X2R_3DIW,57.71
1X2R_3DRF,16.48
1X2R_3DRG,80.43
1X2R_3EMH,493.0
1X2R_3IQG,-34.68
1X2R_3IVV,68.92
1X2R_3L3X,-85.91
1X2R_3OBQ,49.44
1X2R_3R42,40.08
1X2R_3RYB,47.77
1X2R_3SO6,55.42
1X2R_3SOU,11.32
1X2R_3UPV,-96.45
1X2R_3UVK,452.63
1X2R_3UVM,471.83
1X2R_4AIF,-75.01
1X2R_4APO,-99.57
1X2R_4CC2,52.47
1X2R_4CY1,475.93
1X2R_4E3B,-9.92
1X2R_4EQJ,57.26
1X2R_4ERY,475.56
1X2R_4EWR,505.9
1X2R_4F14,37.82
1X2R_4GNE,-6.21
1X2R_4GQ6,-147.95
1X2R_4H39,71.6
1X2R_4IKN,62.56
1X2R_4J73,429.99
1X2R_4J78,416.37
1X2R_4J81,426.24
1X2R_4JOE,-7.74
1X2R_4K75,35.36
1X2R_4LN2,39.41
1X2R_4LNP,36.79
1X2R_4MDR,87.24
1X2R_4NXQ,42.16
1X2R_4O36,-2.94
1X2R_4WYU,61.85
1X2R_4X3H,-13.72
1X2R_4XHV,40.98
1X2R_4Y7R,484.35
1X2R_4YSI,94.45
1X2R_4ZHL,63.55
1X2R_5A2J,86.33
1X2R_5CFA,57.64
1X2R_5E1D,-18.98
1X2R_5E2Q,-30.24
1X2R_5GP7,-22.8
1X2R_5GU4,-2.12
1X2R_5HEB,60.21
1X2R_5HEY,58.81
1X2R_5WOU,44.89
1X2R_5XHZ,29.8
1X2R_5YGF,43.29
1X2R_6CDG,82.52
1X2R_6EVN,-56.32
1X2R_6IM4,-116.71
1YWO_1CKA,261.3
