pdb_id,main_keyword,all_keywords,for_plot
4ery,Transferase ,"WD40, Win motif, MLL3, beta propeller, 3-10 helix, lysine methyltransferase, RbBP5, MLL1, Ash2L, core complex, Histone, Transcription-Transferase complex",TRANSFERASE 
2ho2,PROTEIN BINDING ,"WW DOMAIN, BETA SHEET, FE65, PROTEIN BINDING ",PROTEIN BINDING 
5gu4,HYDROLASE ,"Ricin, ribosome-inactivating protein, ribosomal P stalk protein, ribosome, HYDROLASE ",HYDROLASE 
1fch,SIGNALING PROTEIN ,"PROTEIN-PEPTIDE COMPLEX, TETRATRICOPEPTIDE REPEAT, TPR, HELICAL REPEAT, SIGNALING PROTEIN ",SIGNALING PROTEIN 
3drg,PEPTIDE BINDING PROTEIN ,"oligo-peptide binding, voluminous binding cavity, venus fly-trap, PEPTIDE BINDING PROTEIN ",PEPTIDE BINDING PROTEIN 
6im4,PEPTIDE BINDING PROTEIN ,"Receptor, VIRUS, PEPTIDE BINDING PROTEIN ",PEPTIDE BINDING PROTEIN 
3uvk,TRANSCRIPTION ,"trithorax, chromatin biology, beta-propeller, scaffolding, histone H3, nucleus, TRANSCRIPTION ",TRANSCRIPTION 
1t7r,GROWTH FACTOR RECEPTOR ,"nuclear receptor, transcription factor, ligand binding domain, AF-2, androgen, testosterone, DHT, alpha-helical sandwich, HORMONE-GROWTH FACTOR RECEPTOR COMPLEX",GROWTH FACTOR RECEPTOR 
4k75,PEPTIDE BINDING PROTEIN,"PDZ domain, CAL, PIST, FIG, PDZ-peptide complex, CFTR Associated Ligand, CFTR, PEPTIDE BINDING PROTEIN-PROTEIN BINDING complex ",PEPTIDE BINDING PROTEIN
4joe,PEPTIDE BINDING PROTEIN ,"PDZ, CFTR Associated Ligand, CAL, FIG, PIST, PEPTIDE BINDING PROTEIN ",PEPTIDE BINDING PROTEIN 
6cdg,PEPTIDE BINDING PROTEIN ,"structural genomics consortium, SGC, PEPTIDE BINDING PROTEIN ",PEPTIDE BINDING PROTEIN 
5gp7,TRANSFERASE ,"Tankyrase, USP25, Ankyrin repeats, TRANSFERASE ",TRANSFERASE 
3ryb,PEPTIDE BINDING PROTEIN ,"Substrate-binding protein, Peptide binding, Membrane anchored, PEPTIDE BINDING PROTEIN ",PEPTIDE BINDING PROTEIN 
4eqj,hydrolase,"HIV-1 protease, specificity design, drug design, Protease inhibitors, AIDS, Aspartyl protease, HYDROLASE, hydrolase-hydrolase substrate complex",HYDROLASE
3asl,LIGASE,"histone reader module, epigenetic regulation, histone H3, LIGASE-DNA BINDING PROTEIN complex ",LIGASE
3so6,PROTEIN BINDING,"PTB, endocytic adaptor, receptor, ldl, ldlr, autosomal recessive hypercholesterolemia, ARH, cholesterol, PROTEIN BINDING-PROTEIN TRANSPORT complex",PROTEIN BINDING
3r42,PROTEIN TRANSPORT ,"endosomal sorting, ESCRT, PROTEIN TRANSPORT ",PROTEIN TRANSPORT 
4lnp,SIGNALING PROTEIN ,"sh3 domain, cell migration, proline rich peptide, focal adhesion, SIGNALING PROTEIN ",SIGNALING PROTEIN 
3ivv,LIGASE ,"Protein Binding, Nucleus, Ubl conjugation pathway, LIGASE ",LIGASE 
3drf,PEPTIDE BINDING PROTEIN ,"oligo-peptide binding, voluminous binding cavity, venus fly-trap, PEPTIDE BINDING PROTEIN ",PEPTIDE BINDING PROTEIN 
2xrw,TRANSCRIPTION ,"TRANSCRIPTION, MAPK SIGNALING PATHWAYS, LINEAR BINDING MOTIF ",TRANSCRIPTION 
4h39,TRANSFERASE ,"MAPK, kinase, TRANSFERASE ",TRANSFERASE 
5a2j,PEPTIDE BINDING PROTEIN ,"PEPTIDE BINDING PROTEIN, GLYCOPEPTIDES, ANTIBODIES, MOLECULAR RECOGNITION, CONFORMATION ANALYSIS, FUSION PROTEIN ",PEPTIDE BINDING PROTEIN 
1elw,CHAPERONE ,"Hop, Tpr-Domain, Peptide-Complex, Helical Repeat, Hsc70, Hsp70, Protein Binding, CHAPERONE ",CHAPERONE 
6evn,HYDROLASE ,"tetratricopeptide repeat, collagen synthesis, prolyl 4-hydroxylase, HYDROLASE ",HYDROLASE 
4f14,ACTIN-BINDING PROTEIN,"SH3 domain, heart muscle, ACTIN-BINDING PROTEIN-PEPTIDE complex ",ACTIN-BINDING PROTEIN
2peh,PROTEIN BINDING ,"RRM, UHM, PROTEIN BINDING ",PROTEIN BINDING 
4wyu,STRUCTURAL PROTEIN,"PDZ tandem, PBM, STRUCTURAL PROTEIN-PEPTIDE COMPLEX ",STRUCTURAL PROTEIN
4cy1,TRANSCRIPTION ,"TRANSCRIPTION, EPIGENETIC REGULATOR, HISTONE ACETYLATION, CHROMATIN ",TRANSCRIPTION 
5ygf,PROTEIN BINDING ,"piRNA, complex, extended Tudor domain, PROTEIN BINDING ",PROTEIN BINDING 
4xhv,SIGNALING PROTEIN ,"Spinophilin, Neurexin, Praesynaptic density, SYNAPSE, signaling protein ",SIGNALING PROTEIN 
1x2r,TRANSCRIPTION ,"beta propeller, Structural Genomics, NPPSFA, National Project on Protein Structural and Functional Analyses, RIKEN Structural Genomics/Proteomics Initiative, RSGI, TRANSCRIPTION",TRANSCRIPTION 
3iqg,TRANSFERASE ,"PROTEIN-PEPTIDE COMPLEX, Allosteric enzyme, Amino-acid biosynthesis, Cysteine biosynthesis, Pyridoxal phosphate, Transferase ",TRANSFERASE 
5e1d,TRANSFERASE ,"Structural Genomics, Structural Genomics Consortium, SGC, TRANSFERASE ",TRANSFERASE 
5xhz,PROTEIN BINDING ,"protein-protein complex, PROTEIN BINDING ",PROTEIN BINDING 
4mdr,PROTEIN TRANSPORT,"immunoglobulin-like beta-sandwich, adaptor protein complex, Golgi apparatus, sorting signal recognition, Alzheimers disease, amyloid precursor protein, PROTEIN TRANSPORT-PROTEIN BINDING complex",PROTEIN TRANSPORT
5cfa,PROTEIN BINDING,"Bbp, Fibrinogen, Sdr, MSCRAMM, Staphylococcus aureus, PROTEIN BINDING-PEPTIDE complex ",PROTEIN BINDING
